id,player,hall,saved_medals,saved_balls,updated_at,medal_rate,ball_rate
1773006240,Player 1,ラフェスタ2,16622,0,2026-03-09 06:44,0.0,0.0
1773006321,Player 1,999,0,0,2026-03-13 07:43,5.06,0.0
1773007625,Player 2,ABC Hall,1000,5000,2026-03-09 07:07,0.0,0.0
1773053012,Player 2,ラフェスタ2,10791,0,2026-03-09 19:45,0.0,0.0
1773053429,Player 2,ラフェスタ7,8676,0,2026-03-09 19:50,0.0,0.0
